GENE_ID	Gene_Name	Synonyms	Gene_products	UniProt_ID	cors[use_genes]	pvals[use_genes]	wt_0h_a	wt_0h_b	wt_0h_c	wt_2h_a	wt_2h_b	wt_2h_c	wt_4h_a	wt_4h_b	wt_4h_c	wt_8h_a	wt_8h_b	wt_8h_c	wt_10h_a	wt_10h_b	wt_10h_c	wt_0h_a	wt_0h_b	wt_0h_c	wt_2h_a	wt_2h_b	wt_2h_c	wt_4h_a	wt_4h_b	wt_4h_c	wt_8h_a	wt_8h_b	wt_8h_c	wt_10h_a	wt_10h_b	wt_10h_c
DDB_G0349043	DDB_G0349043	NA	NA	A0A2C9SN78	-0.345407881531965	0.207325020750172	68.2429109948597	66.674933137971	69.7024834392322	135.972040905015	111.925970947287	42.5941920978405	111.460925738446	117.941627675214	128.506241503637	99.6538726932417	54.7435160046524	46.1770507587533	48.8886815028522	154.434095149905	56.8969827265686	23.0038424845381	27.6491827874677	24.6382477111764	2.83219535548869	2.35295108622926	50.588410304095	2.23573715935882	34.63069463611	27.5189142204496	2.1477751789441	1.74620720441507	35.9625070798713	35.828899990955	34.3744532773052	30.9066112212469
DDB_G0268646	DDB_G0268646	NA	unknown	B0G0Y7	0.20813219420572	0.456651791717418	579.680571429693	468.833207329146	542.053060258394	252.803937424666	286.312442351352	488.509713677923	469.74191861632	511.755878887302	275.79003565298	313.295984383039	257.381477555728	278.464380983039	232.565956596242	338.942167148347	183.272195040052	421.514218235765	563.307738960957	527.371520932668	483.650744752462	523.855287759945	593.262902549982	499.880524942935	508.428637234864	567.531344478724	461.221584474079	420.650174414006	560.402346000754	377.308597744357	499.071213537132	518.634094447065
DDB_G0270778	DDB_G0270778	NA	putative prolyl 4-hydroxylase alpha subunit	B0G0Z0	0.726447428545963	0.00216026704957252	22.1202971457749	24.0196597076436	25.0191970450985	23.6464829805255	24.3531448317324	14.1964305435958	40.3785197502698	33.8410786970075	45.2306998170207	119.995151342952	57.5619746702431	42.6391334096862	117.517130123631	187.157574877877	82.8913185389526	7.25028036321885	2.52365808601771	11.837707971367	6.20715099030776	5.491557480199	4.78821953386034	4.43902428677783	4.60368451868667	9.23330629388653	14.631234112077	10.0344066998534	9.98391509824564	20.6979303784878	12.5496266627702	14.941896089984
DDB_G0270910	DDB_G0270910	NA	eukaryotic translation initiation factor 4E (eIF-4E) family protein	B0G0Z1	0.292963283801332	0.289288778390081	23.2419227154366	52.4457611921134	48.9601635882335	29.0961417866171	45.1046687006491	4.23188277003743	18.4565049686989	14.5210048794574	14.9080251700287	11.0126019114179	30.5334076998033	12.3472266050264	25.8008177212596	17.5346914129859	27.3062941494073	27.0511853558342	28.4291517102748	33.7780007000678	28.9696298170328	24.4372768260722	21.4145072085677	21.9375501255725	30.1589935146034	15.302138471668	14.5051196704629	17.0756396556129	24.7404082478075	13.1351037181248	27.1404591262029	20.0462324799242
DDB_G0295677	mpdu1	NA	transmembrane protein, cystinosin/ERS1p repeat-containing protein	B0G0Z6	0.178514107625502	0.524419722470692	180.764318674327	141.037254788593	158.1819167856	206.453946665832	145.284827849175	180.602404756525	217.054813601816	232.991055363335	248.628357364836	334.790265300528	182.151199156007	293.342754035953	177.628320456259	201.820853076051	146.373591794624	59.7105694489082	57.4652973492185	54.3568593284344	51.465948218839	54.993149508374	66.9531135206297	103.400236292529	52.2754946412961	46.1448988014193	108.542436178052	89.8166372389629	83.1073398534617	87.6592063123133	66.655168977779	117.258727452531
DDB_G0294597	DDB_G0294597	NA	beta-lactamase family protein	B0G0Z7	0.670648143145712	0.00620973146890595	340.9009770679	239.611622374258	269.001468825528	44.5036853599405	30.2283131862946	25.6868937001689	27.9279881726781	25.4091067631538	36.3870492032212	22.456403693319	15.1391547409807	21.5565826144919	13.9040233307648	38.7681805733965	24.182014804827	113.387595192868	120.000183052115	125.654029245264	124.755023492368	126.678548358262	95.6838884316615	105.458456797171	106.439618759747	108.980380098552	86.6094948892123	77.2341654463136	95.0902003593669	77.361197192742	111.61645600745	92.1208055782576
DDB_G0271642	cks1	NA	cyclin-dependent kinases regulatory subunit	B0G102	-0.540444578570178	0.0375300417369091	14.7824114537318	21.4322626544256	34.1498535585371	12.9080186306504	8.64862121278766	8.86560628781693	14.0927658412097	22.3136877181634	14.3288355720219	153.167953203209	38.1939987259389	76.7579780397256	82.499119856726	125.164084451992	85.1311838534686	75.1196887023609	55.4029782116891	63.9772450838424	45.104419334992	42.4149039515248	1.56948225830425	3.91160765769708	34.5872178158048	28.1108476373545	2.1082405446638	41.7549024277467	2.13141426109224	1.89842048082856	2.76102404468674	2.65442349729433
DDB_G0295477	nip7	NA	60S ribosome subunit biogenesis protein	B0G104	-0.290459074299978	0.293621945784513	23.1484544963986	26.3084580923351	51.6949755522897	6.64302368656421	5.00215774444952	7.5108289049378	10.0830757754391	12.2788538600039	23.5949142250586	22.3381313110811	22.4390040863413	42.8329921714843	18.5855013323551	33.2761428548162	37.2093559169087	23.677046421933	21.0333472896171	22.510924495959	21.1635511194323	21.0320685092252	15.0929703527669	23.1679646721507	18.5921091142209	20.7985737474296	10.8376829540439	12.7830827080656	10.3946875946545	1.98898675814077	4.04150911292363	7.49869519453813
DDB_G0272418	DDB_G0272418	NA	thioredoxin fold domain-containing protein	B0G106	-0.283930065504248	0.305098121231886	66.7008664259596	53.6398229009986	67.767107729588	110.445406150551	74.2382372415596	103.450752797791	80.7793421451168	86.2441905222976	145.929761530683	66.569639286055	53.7317606997162	82.8159791833058	55.7867715730178	58.5275733460611	71.2793660598766	378.780716688034	301.858273054469	383.622068746127	359.441608506305	343.827646227494	355.68512952116	316.542691322024	302.163901110872	315.604169659814	322.220376540003	450.516544565397	341.719306801713	413.816268145651	311.610638729164	303.066951552245
DDB_G0274237	DDB_G0274237	NA	DUF614 family protein	B0G108	0.598064634408993	0.0185239502599809	2414.26427714946	1940.44765006807	1980.81124896603	2622.94304551792	2101.52961959981	3448.57815764082	1931.77232809523	2178.6874850296	3512.0276876711	1204.25881127645	1402.60082431355	2551.26825305557	1259.34638694727	2559.37616901506	2538.88350496716	194.996291459967	199.107826915444	251.101608513248	356.385220851741	305.902863598025	252.530535147612	415.858821352317	312.940037915833	355.264122306865	198.093304434112	235.12956629981	390.344969235476	94.5628398743733	438.225281354873	268.434544399451
